JobID|JobName|State|ElapsedRaw|AllocCPUS|ReqTRES|AllocTRES
833202|Madagascar_Composite_A|COMPLETED|85|20|billing=1,cpu=10,gres/gpu=1,mem=40000M,node=1|billing=1,cpu=20,energy=21527,gres/gpu=1,mem=40000M,node=1
833253|Madagascar_Composite_A|COMPLETED|63|20|billing=1,cpu=10,gres/gpu=1,mem=40000M,node=1|billing=1,cpu=20,energy=17005,gres/gpu=1,mem=40000M,node=1
833281|Madagascar_Composite_A|COMPLETED|33|20|billing=1,cpu=10,gres/gpu=1,mem=40000M,node=1|billing=1,cpu=20,energy=8926,gres/gpu=1,mem=40000M,node=1
833537|Madagascar_Composite_A|COMPLETED|67|20|billing=1,cpu=10,gres/gpu=1,mem=40000M,node=1|billing=1,cpu=20,energy=15109,gres/gpu=1,mem=40000M,node=1
835976|crossval_africa|COMPLETED|12|80|billing=20,cpu=40,mem=160000M,node=1|billing=40,cpu=80,energy=2266,mem=160000M,node=1
836016|crossval_africa|COMPLETED|97|80|billing=20,cpu=40,mem=160000M,node=1|billing=40,cpu=80,energy=30764,mem=160000M,node=1
836090|crossval_africa|TIMEOUT|7210|80|billing=20,cpu=40,mem=160000M,node=1|billing=40,cpu=80,energy=2458733,mem=160000M,node=1
839245|tempov_malpolon_earth_engine|CANCELLED by 304540|258|20|billing=1,cpu=10,gres/gpu=1,mem=50000M,node=1|billing=1,cpu=20,energy=127392,gres/gpu:h100=1,gres/gpu=1,mem=50000M,node=1
839319|tempov_malpolon_earth_engine|CANCELLED by 304540|1338|20|billing=1,cpu=10,gres/gpu=1,mem=50000M,node=1|billing=1,cpu=20,energy=702574,gres/gpu:h100=1,gres/gpu=1,mem=50000M,node=1
840056|tempov_malpolon_earth_engine|COMPLETED|47|20|billing=1,cpu=10,gres/gpu=1,mem=50000M,node=1|billing=1,cpu=20,energy=23735,gres/gpu:h100=1,gres/gpu=1,mem=50000M,node=1
840431|tempov_malpolon_earth_engine|CANCELLED by 304540|1264|20|billing=1,cpu=10,gres/gpu=1,mem=50000M,node=1|billing=1,cpu=20,energy=683932,gres/gpu:h100=1,gres/gpu=1,mem=50000M,node=1
855823|crossval_africa|COMPLETED|1587|80|billing=20,cpu=40,mem=160000M,node=1|billing=40,cpu=80,energy=559420,mem=160000M,node=1
863772|crossval_africa|COMPLETED|1225|80|billing=20,cpu=40,mem=160000M,node=1|billing=40,cpu=80,energy=394129,mem=160000M,node=1
864446|crossval_africa|COMPLETED|25|80|billing=20,cpu=40,mem=160000M,node=1|billing=40,cpu=80,energy=4639,mem=160000M,node=1
864456|crossval_africa|COMPLETED|3575|80|billing=20,cpu=40,mem=160000M,node=1|billing=40,cpu=80,energy=1262990,mem=160000M,node=1
864543|crossval_africa|COMPLETED|25|80|billing=20,cpu=40,mem=160000M,node=1|billing=40,cpu=80,energy=4577,mem=160000M,node=1
866383|nofreeze|COMPLETED|35|20|billing=1,cpu=10,gres/gpu=1,mem=50000M,node=1|billing=1,cpu=20,energy=16656,gres/gpu:h100=1,gres/gpu=1,mem=50000M,node=1
866504|crossval_africa|COMPLETED|21|80|billing=20,cpu=40,mem=160000M,node=1|billing=40,cpu=80,energy=4272,mem=160000M,node=1
866973|tempov_malpolon_earth_engine|CANCELLED by 304540|1407|20|billing=1,cpu=10,gres/gpu=1,mem=50000M,node=1|billing=1,cpu=20,energy=666267,gres/gpu:h100=1,gres/gpu=1,mem=50000M,node=1
868101|nofreeze|COMPLETED|32|20|billing=1,cpu=10,gres/gpu=1,mem=50000M,node=1|billing=1,cpu=20,energy=14888,gres/gpu:h100=1,gres/gpu=1,mem=50000M,node=1
868643|nofreeze|COMPLETED|9|20|billing=1,cpu=10,gres/gpu=1,mem=50000M,node=1|billing=1,cpu=20,energy=4326,gres/gpu:h100=1,gres/gpu=1,mem=50000M,node=1
868943|nofreeze|COMPLETED|7|20|billing=1,cpu=10,gres/gpu=1,mem=50000M,node=1|billing=1,cpu=20,energy=3405,gres/gpu:h100=1,gres/gpu=1,mem=50000M,node=1
868973|nofreeze|COMPLETED|8|20|billing=1,cpu=10,gres/gpu=1,mem=50000M,node=1|billing=1,cpu=20,energy=4364,gres/gpu:h100=1,gres/gpu=1,mem=50000M,node=1
869476|nofreeze|COMPLETED|7|20|billing=1,cpu=10,gres/gpu=1,mem=50000M,node=1|billing=1,cpu=20,energy=3476,gres/gpu:h100=1,gres/gpu=1,mem=50000M,node=1
869519|nofreeze|COMPLETED|40|20|billing=1,cpu=10,gres/gpu=1,mem=50000M,node=1|billing=1,cpu=20,energy=20772,gres/gpu:h100=1,gres/gpu=1,mem=50000M,node=1
869915|nofreeze|COMPLETED|1968|20|billing=1,cpu=10,gres/gpu=1,mem=50000M,node=1|billing=1,cpu=20,energy=937902,gres/gpu:h100=1,gres/gpu=1,mem=50000M,node=1
870610|nofreeze|COMPLETED|1941|20|billing=1,cpu=10,gres/gpu=1,mem=50000M,node=1|billing=1,cpu=20,energy=964951,gres/gpu:h100=1,gres/gpu=1,mem=50000M,node=1
